Prognosis,Treatment
Fungal infection,"Turmeric is a potent antimicrobial and anti-inflammatory spice. Mix with a little water and apply over the infected area. To get benefits in the internal body environment, mix with warm water, or have turmeric tea. "
Hepatitis C,Hepatitis C infection is treated with antiviral medications intended to clear the virus from your body. You should stop drinking alcohol and cover any wounds you have and don't share razors or toothbrushes. Don't donate blood or body organs. 
Hepatitis E,"In most cases, hepatitis E goes away on its own in about 4-6 weeks. You should rest, eat healthy foods, drink lots of water and avoid alcohol. It is also important to practice good hygiene and wash your hands often."
Alcoholic hepatitis,"The main treatment for alcoholic hepatitis is to stop consuming alcohol. There is no cure for alcoholic hepatitis, but treatment will aim to reduce or eliminate symptoms and stop the progression of the disease.You should exercise regularly and avoid foods with added sugars."
Tuberculosis,Mint has anti-bacterial properties and helps in the healing of the tissues affected by tuberculosis. Mix one teaspoon of mint juice with two teaspoon honey and two teaspoon malt vinegar and half a cup carrot juice. Divide the mixture into three parts and consume it at regular intervals.
Common Cold,A few slices of raw ginger root in boiling water may help soothe a cough or sore throat and adding a garlic supplement to your diet might reduce the severity of cold symptoms. It might even help you avoid getting sick in the first place.
Pneumonia,"Gargling with salt water or even just with water can help rid of some of the mucus in your throat and relieve irritation. You can apply lukewarm water compress, drink warm water and drink acup of turmeric tea or ginger tea."
Dimorphic hemmorhoids(piles),"You should drink plenty of water throughout the day. Eat more high-fiber foods  such as fresh fruits, vegetables and whole grains. Soak regularly in a warm bath or sitz bath."
Heart attack,Any chest pain that is unusual for you should be medically evaluated. If you experience persistent chest pain call emergency services immediately. Adding amla to your diet may be beneficial to your heart.
Varicose veins,"Self-care such as exercising, losing weight, not wearing tight clothes, elevating your legs, and avoiding long periods of standing or sitting can ease pain and prevent varicose veins from getting worse."
Hypothyroidism,"Your thyroid needs adequate amounts of iodine in order to fully function, but you don’t need to take an iodine supplement for that to happen. A balanced diet of whole grains, beans, lean proteins, and colorful fruits and vegetables should provide enough iodine."
Hyperthyroidism,You should reduce the intake of excessive iodine in the diet and avoid iodine supplements which can help to keep thyroid activity from becoming more imbalanced.
Hypoglycemia,"These are sugary foods without protein or fat that are easily converted to sugar in the body. Try glucose tablets or gel, fruit juice, regular not diet soft drinks, honey, and sugary candy. Recheck blood sugar levels 15 minutes after treatment. Once your blood sugar is normal, eating a snack or meal can help stabilize it and replenish your glycogen."
Osteoarthristis,"Exercising and losing weight if you are overweight are important ways to lessen the joint pain and stiffness of osteoarthritis. Try walking, bicycling or water aerobics. If you feel new joint pain, stop. New pain that lasts for hours after you exercise probably means you have overdone it, not that you've caused damage or that you should stop exercising. Try again a day or two later at a lower level of intensity."
Arthritis,Regular exercise can help keep your joints flexible. Swimming and water aerobics may be good choices because the buoyancy of the water reduces stress on weight-bearing joints. Heating pads or ice packs may help relieve arthritis pain.
(vertigo) Paroymsal Positional Vertigo,"Avoid movements, such as looking up, that bring on the symptoms and Sit down immediately when you feel dizzy. Use good lighting if you get up at night."
